Nombre de la cuenta,Naturaleza ampliada,Libros contables relevantes,Descripción
Acciones adquiridas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Acciones adquiridas
Acciones no suscritas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Acciones no suscritas
Acciones por suscribir,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Acciones por suscribir
Acciones suscritas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Acciones suscritas
Acreedores,Acreedor/pasivo,Balance General/Balance de Saldos,Representa un pasivo. Acreedores
Acreedores hipotecarios,Acreedor/pasivo a largo plazo,Balance General,Acreedores hipotecarios
Acreedores a largo plazo,Acreedor/pasivo a largo plazo,Balance General,Acreedores a largo plazo
Acreedores por prendas en garantía,Acreedor/pasivo,Balance General,Representa un pasivo. Acreedores por prendas en garantía
Acreedores comerciales,Acreedor/pasivo,Balance General,Representa un pasivo. Acreedores comerciales
Acreedores no comerciales,Acreedor/pasivo,Balance General,Representa un pasivo. Acreedores no comerciales
Aguinaldos,Pérdida/deudor,Estado de Resultados/Gasto de Administración/Balance de Saldos,Aguinaldos
Aguinaldos administración,Pérdida/deudor,Estado de Resultados/Gasto de Administración/Balance de Saldos,Aguinaldos administración
Aguinaldos sala de ventas,Pérdida/deudor,Estado de Resultados/Gasto de Venta/Balance de Saldos,Aguinaldos sala de ventas
Aguinaldos de fábrica,Pérdida/deudor,Estado de Resultados/Costo de Producción/Balance de Saldos,Aguinaldos de fábrica
Almacén de envases,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Almacén de envases
Alquileres cobrados,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Alquileres cobrados
Alquileres ganados,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Alquileres ganados
Alquileres percibidos,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Alquileres percibidos
Alquileres producto,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Alquileres producto
Alquileres devengados,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Alquileres devengados
Alquileres cobrados por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Alquileres cobrados por anticipado
Alquileres percibidos no devengados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Alquileres percibidos no devengados
Alquileres,Deudor/activo,Balance General/Balance de Saldos,Alquileres
Alquileres de oficina,Gasto/deudor,Estado de Resultados/Balance de Saldos,Alquileres de oficina
Alquileres de sala de ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Alquileres de sala de ventas
Alquileres de fábrica,Gasto/deudor,Estado de Resultados/Balance de Saldos,Alquileres de fábrica
Alquileres pagados por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Alquileres pagados por anticipado
Alquileres por pagar,Pasivo/acreedor,Balance General/Balance de Saldos,Alquileres por pagar
Amortizaciones de oficina,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Amortizaciones de oficina
Amortizaciones de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Amortizaciones de sala de ventas
Amortizaciones de fábrica,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Amortizaciones de fábrica
Amortización crédito mercantil,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización crédito mercantil
Amortización derecho de llave,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización derecho de llave
Amortización gastos de constitución,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de constitución
Amortización gastos de instalación fábrica,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de instalación fábrica
Amortización gastos de instalación sala de ventas,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de instalación sala de ventas
Amortización gastos de instalación administración,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de instalación administración
Amortización gastos de instalación oficina,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de instalación oficina
Amortización gastos de organización,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización gastos de organización
Amortización marcas y patentes,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización marcas y patentes
Amortización de patentes,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización de patentes
Amortización renombre comercial,Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización renombre comercial
Amortización acumulada (cualquier activo intangible),Activo amortizable/deudor,Balance General/Balance de Saldos,Amortización acumulada (cualquier activo intangible)
Anticipo de clientes,Pasivo/acreedor,Balance General/Balance de Saldos,Anticipo de clientes
Anticipo sobre ventas,Pasivo/acreedor,Balance General/Balance de Saldos,Anticipo sobre ventas
Activos inservibles,Activo/pérdida/deudor,Balance General/Estado de Resultados/Balance de Saldos,Activos inservibles
Anticipo a proveedores,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Anticipo a proveedores
Anticipo sobre compras,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Anticipo sobre compras
Anticipo sobre sueldos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Anticipo sobre sueldos
Artículos en proceso,Activo/deudor,Costo de Producción/Balance de Saldos,Representa un activo. Artículos en proceso
Artículos terminados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Artículos terminados
Artículos enviados en consignación,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Artículos enviados en consignación
Artículos recibidos en consignación,Pasivo/acreedor,Balance General/Balance de Saldos,Artículos recibidos en consignación
Bancos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Bancos
Bonificación incentivo administración,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Bonificación incentivo administración
Bonificación incentivo sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Bonificación incentivo sala de ventas
Bonificación incentivo de fábrica,Pérdida/deudor,Estado de Resultados/Costo de Producción/Balance de Saldos,Bonificación incentivo de fábrica
Bonos comprados,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Bonos comprados
Bonos emitidos,Pasivo/acreedor,Balance General/Balance de Saldos,Bonos emitidos
Bono 14 de fábrica,Pérdida/deudor,Estado de Resultados/Costo de Producción/Balance de Saldos,Bono 14 de fábrica
Bono 14 de sala de ventas,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Bono 14 de sala de ventas
Bono 14 de administración,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Bono 14 de administración
Caja chica,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Caja chica
Caja y bancos,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Caja y bancos
Capital social,Pasivo/acreedor,Balance General/Balance de Saldos,Capital social
Clientes,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Clientes
Combustibles y lubricantes (existencia),Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Combustibles y lubricantes (existencia)
Combustibles y lubricantes consumidos sala de ventas,Gasto/deudor,Estado de Resultados/Balance de Saldos,Combustibles y lubricantes consumidos sala de ventas
Combustibles y lubricantes consumidos fábrica,Gasto/deudor,Costo de Producción/Balance de Saldos,Combustibles y lubricantes consumidos fábrica
Combustibles y lubricantes consumidos administración,Gasto/deudor,Estado de Resultados/Balance de Saldos,Combustibles y lubricantes consumidos administración
Comisiones cobradas por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Comisiones cobradas por anticipado
Comisiones percibidas no devengadas,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Comisiones percibidas no devengadas
Comisiones pagadas por anticipado,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Comisiones pagadas por anticipado
Comisiones gasto,Pérdida/deudor,Estado de Resultados/Balance de Saldos,Comisiones gasto
Comisiones,Activo/deudor,Balance General/Balance de Saldos,Representa un activo. Comisiones
Comisiones percibidas,Ganancia/acreedor,Estado de Resultados/Balance de Saldos,Comisiones percibidas
